TF	target	importance
ZNF382	KLHL6	154.46147081813385
ONECUT2	KLHL6	114.00569089056002
YBX1	RPSA	111.43722520011623
YBX1	RPLP1	111.01362909452168
POU2F2	KLHL6	108.84315484638852
