,,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment,Enrichment
,,AUC,Annotation,Context,MotifSimilarityQvalue,NES,OrthologousIdentity,RankAtMax,TargetGenes
TF,MotifID,,,,,,,,
ALX3,hocomoco__MIXL1_HUMAN.H11MO.0.D,0.08623159214001164,"gene is annotated for similar motif cisbp__M5285 ('ALX3[gene ID: ""ENSG00000156150"" species: ""Homo sapiens"" TF status: ""direct"" TF family: ""Homeodomain"" DBDs: ""Homeobox""]; CG34340[gene ID: ""FBgn0085369"" species: ""Drosophila melanogaster"" TF status: ""inferred"" TF family: ""Homeodomain"" DBDs: ""Homeobox""]; Prrxl1[gene ID: ""ENSMUSG00000041730"" species: ""Mus musculus"" TF status: ""inferred"" TF family: ""Homeodomain"" DBDs: ""Homeobox""]; Vsx2[gene ID: ""ENSMUSG00000021239"" species: ""Mus musculus"" TF status: ""inferred"" TF family: ""Homeodomain"" DBDs: ""Homeobox""]'; q-value = 0.000163)","frozenset({'activating', 'hg38__refseq-r80__10kb_up_and_down_tss.mc9nr', 'weight>75.0%'})",0.00016299999999999998,3.53611576717473,1.0,701,"[('ENC1', 1.0), ('E2F8', 1.245381784663229), ('LAMB1', 1.5661447169981102), ('ARHGAP6', 2.2035270105540783), ('SPNS2', 1.4184851970006649), ('RANGAP1', 2.2609028491526932), ('GADD45A', 1.2967828124933376), ('WNT7A', 1.9719278091557144)]"
ATF3,transfac_pro__M08931,0.07173939079404368,gene is annotated for similar motif homer__DATGASTCATHN_Atf3 ('Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer'; q-value = 6.91e-06),"frozenset({'activating', 'hg38__refseq-r80__10kb_up_and_down_tss.mc9nr', 'weight>75.0%'})",7.000000000000001e-06,3.649865986261285,1.0,3767,"[('JUNB', 1.6690593489793089), ('PLEC', 5.477897988258296), ('ANXA1', 8.637342620008111), ('TNFRSF12A', 3.0821975191404687), ('GSN-AS1', 1.2604042449412758), ('WEE1', 1.389655710248894), ('LAMB3', 4.211984296323998), ('GSN', 14.282307563139813), ('PIM1', 1.241960649316099), ('OCLN', 2.3295794665090903), ('ATF3', 6.096766240109021), ('POU2F3', 3.083634413168609), ('PDGFB', 4.812794262783924), ('SDC4', 3.893063254621953), ('SLC38A2', 4.5530169929190665), ('LAMC2', 5.726146427066157), ('GEM', 5.165875207785656), ('ARL14', 1.2886904252415778), ('CLDN4', 23.87693262987068), ('IFRD1', 1.7299123898879996), ('GABRE', 37.84042565914885), ('DUSP5', 4.261248847393083), ('CDH17', 5.55574728149942), ('HBEGF', 9.690807936402576), ('EREG', 1.4243254818153663), ('FBXO32', 1.7959858670577458), ('PTRF', 7.011233350974324), ('FAM46A', 1.0), ('GULP1', 3.0577463269847147), ('ABHD2', 5.5148519284155295), ('DUSP1', 5.151452250523977), ('F3', 1.4102028298149485), ('ADGRF1', 1.2916767511371716), ('TRAF1', 9.110894726762114), ('BBC3', 52.12795523240752), ('ATP1B1', 5.977843576090041), ('LAMA3', 3.9671936714076548), ('SDR16C5', 1.900687975230977), ('NCOA7', 2.7426350966053046), ('ETS1', 19.89886949136583), ('COL17A1', 14.735244705103913), ('PCLO', 2.2275665261877013), ('BTG3', 9.928796845038967), ('NEDD4L', 10.18372601061879), ('RHOC', 14.908506025551862), ('TUBB2A', 5.515747688598613), ('ZC3H12A', 11.399104491666733), ('PLS1', 9.516409365938753), ('AREG', 1.2228687259480089), ('CDKN1A', 1.9422520636783034), ('YPEL3', 2.0627314124600096), ('TMPRSS2', 7.745476140482534), ('CXCL11', 3.1445726419988698), ('GADD45B', 1.3206865080768908), ('SLC1A4', 3.051826339446873), ('RAB8B', 1.6151978405003276), ('EPHB6', 1.305528978728839), ('CDHR2', 1.8133776242057085), ('SFN', 1.3193306409885563), ('ISG20', 3.3453678102485505), ('SLC5A1', 3.1884570596900126), ('CLDN1', 3.988239016420143), ('KLF4', 6.8319799804674055), ('NLRC5', 3.512077238573888), ('CGN', 2.618226468977385), ('GPRC5A', 7.106818911578225), ('TXNRD1', 12.285779868989135), ('CHD2', 3.962732427211328), ('PDGFA', 2.3644295879388366), ('FSIP1', 1.5710463151166187), ('CCSER1', 1.3746816129597381), ('ZC3HAV1', 2.5655453541171407), ('GADD45A', 13.769297801220993), ('TSC22D1', 2.6747725500587025), ('B3GNT5', 19.80360708102383), ('USP53', 23.72273478548451), ('OSBPL1A', 6.6306285371218445), ('RND3', 2.8770472957295548), ('SYNE2', 2.596502407857248), ('BMP2', 1.836111364570375), ('MACC1', 7.712079984861614), ('PDE4D', 7.250901721596158), ('KLF10', 18.73302951076116), ('LYPD3', 2.0828606081305137), ('ZBTB20', 1.4704982279659666), ('TM4SF1', 4.7966883498721415), ('TMBIM1', 6.231394435070291), ('PTAFR', 3.816004095240301), ('SLC20A2', 2.6821796090447063), ('ITGA3', 4.814008780949676), ('PARM1', 22.40340284399301), ('TMCC3', 1.5698326932842748), ('RNF19A', 1.6564726254192994), ('ITGB8', 3.94028120291084), ('DST', 6.423816354056647), ('CCDC68', 1.4414347713028195), ('FAM107B', 1.465340134347921), ('FTH1', 7.198131508513034), ('SLC7A14', 14.192719163804428), ('LINC01559', 4.376410751728665), ('RNF39', 3.941219561423732), ('PRDM1', 3.626357498803929), ('PLSCR1', 2.8647897879614663), ('MMP7', 10.375744620958283), ('ASS1', 9.601774874920183), ('MIDN', 2.0110366476153203), ('NEURL1B', 6.722409300722512), ('CLIC5', 17.064071860849527), ('MGAT4A', 21.389031330020146), ('LIPH', 12.778180135659966), ('TNFAIP3', 12.397502280898356), ('FNIP2', 1.5502106956937638), ('SAMD9L', 11.46736266623762), ('PLA2G4C', 1.5156497312377075), ('LYST', 18.756589588549087), ('RAB11FIP1', 3.1436247480657715), ('DDIT3', 2.993460197245386), ('CD59', 4.74127664992963), ('PTPRR', 6.484645901479772), ('SORBS2', 8.566753605447449), ('MYO1B', 6.056014058978382), ('MEGF11', 4.594290126062289), ('NFKBIZ', 7.0369382692028335), ('CCNYL1', 1.2772871147016842), ('SPEN', 9.364401710232869), ('ABCA5', 1.4023531377745269), ('SDCBP2', 3.635342003636125), ('RAB3IP', 12.35285497791133), ('TTC39B', 1.7324565942746943), ('PKIB', 18.78514415734468), ('TIMP2', 7.92810347997807), ('ECE1', 6.817513669908938), ('ATP2B4', 28.456545474830683), ('SLC7A11', 2.360419803617352), ('USP54', 38.6610013003627), ('KRT7', 1.2194291638524852), ('GCNT3', 1.7557228052338505), ('KIF16B', 2.6244065036768527), ('GRAMD3', 2.8662492852609494), ('ITGAV', 2.3919268149790174), ('CAMK2N1', 1.8346307208968875), ('ARL4C', 24.76065131822497), ('HHLA2', 1.2490394891313907), ('IL23A', 15.194431812297234), ('SAT1', 20.80611519918331), ('MYL12B', 7.737971728673536)]"
ATF3,dbcorrdb__JUN__ENCSR000EGH_1__m1,0.07233251398687145,gene is annotated for similar motif homer__DATGASTCATHN_Atf3 ('Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer'; q-value = 1.13e-05),"frozenset({'activating', 'hg38__refseq-r80__10kb_up_and_down_tss.mc9nr', 'weight>75.0%'})",1.1e-05,3.7119995919277824,1.0,3698,"[('TNFRSF12A', 1.6690593489793089), ('ANXA1', 5.477897988258296), ('CLDN4', 8.637342620008111), ('LAMC2', 3.0821975191404687), ('PIM1', 1.2604042449412758), ('LAMA3', 1.389655710248894), ('JUNB', 4.211984296323998), ('SDC4', 14.282307563139813), ('BBC3', 1.241960649316099), ('PLEC', 2.3295794665090903), ('DUSP1', 6.096766240109021), ('LAMB3', 3.083634413168609), ('MIDN', 4.812794262783924), ('ARL14', 3.893063254621953), ('PTAFR', 4.5530169929190665), ('GABRE', 5.726146427066157), ('ABHD2', 5.165875207785656), ('NEDD4L', 1.2886904252415778), ('OCLN', 23.87693262987068), ('ISG20', 1.7299123898879996), ('CXCL11', 37.84042565914885), ('SDCBP2', 4.261248847393083), ('HMCN2', 5.55574728149942), ('EREG', 9.690807936402576), ('FTH1', 1.4243254818153663), ('TMBIM1', 1.7959858670577458), ('GULP1', 7.011233350974324), ('GRAMD3', 1.0), ('MYO1B', 3.0577463269847147), ('CDH17', 5.5148519284155295), ('CDKN1A', 5.151452250523977), ('PDGFA', 1.4102028298149485), ('GADD45B', 1.2916767511371716), ('CTSD', 9.110894726762114), ('ATP1B1', 52.12795523240752), ('OASL', 5.977843576090041), ('TSC22D1', 3.9671936714076548), ('RHOC', 1.900687975230977), ('GCNT3', 2.7426350966053046), ('ATP2B4', 19.89886949136583), ('ITGA3', 14.735244705103913), ('ETS1', 2.2275665261877013), ('ZBTB20', 9.928796845038967), ('DUSP5', 10.18372601061879), ('F3', 14.908506025551862), ('TRAF1', 5.515747688598613), ('TMCC3', 11.399104491666733), ('TTC39B', 9.516409365938753), ('MDM2', 1.2228687259480089), ('RNF213', 1.9422520636783034), ('IRF1', 2.0627314124600096), ('GADD45A', 7.745476140482534), ('CGN', 3.1445726419988698), ('HHLA2', 1.3206865080768908), ('FBXO32', 3.051826339446873), ('MACC1', 1.6151978405003276), ('ZC3HAV1', 1.305528978728839), ('MEGF11', 1.8133776242057085), ('SOX9', 1.3193306409885563), ('IFRD1', 3.3453678102485505), ('FSIP1', 3.1884570596900126), ('FILIP1L', 3.988239016420143), ('SPAG9', 6.8319799804674055), ('SORBS2', 3.512077238573888), ('AREG', 2.618226468977385), ('NCOA7', 7.106818911578225), ('TUBB2A', 12.285779868989135), ('PRDM1', 3.962732427211328), ('SQSTM1', 2.3644295879388366), ('ATF3', 1.5710463151166187), ('RAB8B', 1.3746816129597381), ('PTPRR', 2.5655453541171407), ('USP54', 13.769297801220993), ('SFN', 2.6747725500587025), ('ZNFX1', 19.80360708102383), ('WEE1', 23.72273478548451), ('RNF19A', 6.6306285371218445), ('LYST', 2.8770472957295548), ('NLRC5', 2.596502407857248), ('FNIP2', 1.836111364570375), ('FAM107B', 7.712079984861614), ('PDE4D', 7.250901721596158), ('CDKN2A', 18.73302951076116), ('GPRC5A', 2.0828606081305137), ('TIMP2', 1.4704982279659666), ('RRBP1', 4.7966883498721415), ('MOSPD1', 6.231394435070291), ('GEM', 3.816004095240301), ('ECE1', 2.6821796090447063), ('B3GNT5', 4.814008780949676), ('ALDH1A3', 22.40340284399301), ('MYL12B', 1.5698326932842748), ('CCDC68', 1.6564726254192994), ('PRSS23', 3.94028120291084), ('PDGFB', 6.423816354056647), ('JAG1', 1.4414347713028195), ('LURAP1L', 1.465340134347921), ('ICAM2', 7.198131508513034), ('TMEM37', 14.192719163804428), ('BHLHE41', 4.376410751728665), ('CDHR2', 3.941219561423732), ('ASS1', 3.626357498803929), ('FAM101A', 2.8647897879614663), ('ALS2CL', 10.375744620958283), ('DUSP4', 9.601774874920183), ('CAMK2N1', 2.0110366476153203), ('OSBPL1A', 6.722409300722512), ('ITGB8', 17.064071860849527), ('TNFRSF9', 21.389031330020146), ('WARS', 12.778180135659966), ('CXCL8', 12.397502280898356), ('ITPKA', 1.5502106956937638), ('MAST4', 11.46736266623762), ('SERPINB7', 1.5156497312377075), ('CD59', 18.756589588549087), ('GSN', 3.1436247480657715), ('SLC20A2', 2.993460197245386), ('SLC26A3', 4.74127664992963), ('TRIM29', 6.484645901479772), ('IGF2R', 8.566753605447449), ('ZC3H12A', 6.056014058978382), ('TCP11L2', 4.594290126062289), ('ERO1A', 7.0369382692028335), ('GALNT5', 1.2772871147016842), ('PKIB', 9.364401710232869), ('TPM1', 1.4023531377745269), ('MXI1', 3.635342003636125), ('POU2F3', 12.35285497791133), ('CD55', 1.7324565942746943), ('PLS1', 18.78514415734468), ('TMPRSS2', 7.92810347997807), ('HIST1H2BD', 6.817513669908938), ('DST', 28.456545474830683), ('COL17A1', 2.360419803617352), ('RGS2', 38.6610013003627), ('FAM46A', 1.2194291638524852), ('IL23A', 1.7557228052338505), ('CA1', 2.6244065036768527), ('HBEGF', 2.8662492852609494), ('IL6R', 2.3919268149790174), ('ARRDC3', 1.8346307208968875), ('CXCL2', 24.76065131822497), ('ADGRF1', 1.2490394891313907), ('CCSER1', 15.194431812297234)]"
